Unique Method Stereotype,Method Count
property factory controller,1
command collaborator,3
property,3
collaborator incidental,4
wrapper stateless,13
controller stateless,27
property controller,9
predicate wrapper,1
property non-void-command collaborator,14
property set collaborator,1
predicate collaborator,3
wrapper,5
destructor,3
get,3
predicate non-void-command collaborator,2
property wrapper,11
set collaborator,3
predicate,4
property collaborator,49
incidental,1
get collaborator,7
get property collaborator,1
constructor,48
set,2
predicate controller,3
copy-constructor,3
void-accessor,1
get wrapper,1
Total,226