,void-accessor controller,set collaborator,predicate set collaborator,property,property non-void-command factory collaborator,factory incidental,property command factory collaborator,get predicate controller,get set factory collaborator,property wrapper,constructor,get set factory,property non-void-command factory,get property,predicate non-void-command collaborator,get property factory wrapper,property set factory,predicate wrapper,get factory collaborator,wrapper stateless,get factory controller,void-accessor command,get predicate set,factory collaborator,get non-void-command collaborator,set factory,stateless,copy-constructor,get non-void-command,get set collaborator,command,property factory collaborator,incidental,predicate collaborator,destructor,property set collaborator,property factory wrapper,property set factory collaborator,non-void-command factory collaborator,get property set factory collaborator,get predicate set collaborator,void-accessor,predicate non-void-command,get property controller,property collaborator,get void-accessor collaborator,get non-void-command factory collaborator,property set,wrapper,collaborator stateless,get factory,unclassified,get predicate collaborator,factory controller stateless,factory wrapper stateless,get property factory collaborator,get void-accessor command collaborator,set factory collaborator,get predicate wrapper,get wrapper,get controller,get property non-void-command factory,void-accessor set collaborator,get predicate non-void-command,command collaborator,command empty,void-accessor command collaborator,get command collaborator,property non-void-command,get factory wrapper,get predicate non-void-command collaborator,get property command collaborator,get,get void-accessor controller,property factory,get collaborator,controller stateless,get predicate,factory collaborator stateless,get property collaborator,get property non-void-command,get property wrapper,void-accessor set,factory controller,property controller,get command,get property set,void-accessor wrapper,property factory controller,void-accessor collaborator,get property set collaborator,collaborator incidental,get property factory,get property factory controller,set,get property set factory,collaborator,get property non-void-command collaborator,get void-accessor,non-void-command,non-void-command collaborator,property non-void-command collaborator,get property non-void-command factory collaborator,predicate set,get non-void-command factory,property command collaborator,empty,predicate,controller,factory stateless,non-void-command factory,predicate controller,factory,get set,factory wrapper,factory collaborator incidental
DevToys (C#),0,39,1,0,10,0,0,0,1,26,211,0,0,0,10,0,0,8,0,56,0,1,0,0,2,0,1,3,1,1,147,3,3,1,1,8,5,0,5,1,0,0,5,0,6,0,2,0,67,9,0,1,0,7,4,0,0,1,0,2,0,0,1,0,141,0,6,0,13,0,0,0,2,0,0,3,85,1,3,1,0,1,0,0,8,0,0,0,3,0,0,11,0,0,68,0,1,0,0,0,101,82,1,2,0,0,13,3,6,0,0,1,0,4,1,0
EquinoxProject (C#),0,0,0,0,0,0,0,0,0,2,24,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
docfx (C#),4,13,0,6,25,0,0,0,0,33,576,0,3,0,34,0,0,10,1,372,0,0,0,0,1,0,1,25,1,0,48,7,27,1,3,4,8,0,7,0,0,0,10,2,6,0,0,0,45,3,0,1,0,13,8,0,0,1,1,2,0,1,1,0,214,0,10,0,11,0,0,0,2,0,2,4,153,0,1,3,0,2,0,4,34,0,1,3,11,0,0,53,2,0,26,0,0,2,0,0,5,134,0,1,0,0,508,1,45,0,0,6,0,0,0,1
CAP (C#),0,6,0,6,16,0,0,0,0,9,155,0,0,0,11,0,0,0,0,64,0,0,0,2,7,0,0,36,1,4,40,9,20,0,0,2,3,1,20,0,0,0,1,0,4,0,0,0,16,3,0,0,0,2,5,0,0,0,0,1,0,0,0,0,65,0,4,0,3,0,0,0,4,0,0,0,50,0,3,0,0,0,0,6,14,0,0,3,4,0,0,12,0,0,8,0,0,0,0,0,72,113,0,0,0,0,15,1,27,0,0,0,0,2,0,0
EverythingToolbar (C#),0,15,1,14,1,0,0,0,0,8,45,0,0,0,3,0,0,1,0,57,0,1,0,0,0,0,1,1,0,1,33,0,13,0,3,4,0,0,2,0,0,0,0,0,2,0,0,2,26,8,0,2,0,1,1,0,0,0,0,0,0,0,0,0,60,0,3,0,37,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,1,0,0,1,0,0,0,12,0,0,50,0,2,1,0,2,6,21,3,1,0,0,2,20,5,0,0,0,0,1,0,0
LittleBigMouse (C#),0,11,0,3,2,0,0,0,0,7,130,0,1,0,6,0,0,2,0,90,0,0,0,0,2,0,0,9,3,2,12,3,17,1,8,2,4,3,2,0,0,0,0,0,3,0,0,0,5,2,0,3,0,2,0,0,0,1,0,3,1,0,0,0,55,0,4,0,4,0,0,0,24,0,1,10,27,0,0,0,1,0,0,0,5,0,0,0,1,0,1,42,0,0,14,0,5,0,0,5,12,27,0,1,0,0,13,4,9,0,1,0,1,1,2,0
QuickLook (C#),1,17,1,0,9,0,0,0,0,4,44,0,0,0,0,1,0,0,0,40,0,0,0,0,1,0,1,1,0,1,27,0,3,0,0,1,2,0,1,1,0,0,5,0,1,0,0,0,13,21,0,0,0,1,4,0,0,0,0,1,0,0,6,0,36,0,7,0,2,0,0,0,0,0,0,3,20,0,4,2,0,0,0,0,0,0,0,1,0,0,0,17,0,0,29,0,0,0,0,3,3,7,1,1,0,0,10,0,2,0,0,0,0,1,0,0
usbipd-win (C#),0,2,0,1,2,0,0,0,0,2,14,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,3,2,0,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,0,0,0,0,0,0,10,0,0,0,0,0,0,0
btcpayserver (C#),1,18,0,10,56,0,0,0,0,43,534,0,1,1,32,0,0,10,0,154,0,0,0,1,2,0,0,20,0,4,36,11,37,0,0,9,3,6,10,0,0,0,24,0,18,0,0,0,19,9,0,1,0,13,19,0,0,2,0,1,0,0,0,0,86,0,13,0,35,0,0,0,16,0,1,15,251,0,4,1,1,4,0,6,31,0,0,0,4,0,0,60,0,0,17,0,5,1,0,2,223,612,0,0,0,0,32,9,57,1,0,6,0,1,0,11
Skinner (C#),0,38,0,4,1,0,0,0,2,10,23,0,0,0,1,0,0,3,0,11,0,1,0,2,2,0,0,0,1,0,73,0,12,1,0,2,5,1,4,0,0,0,3,0,6,0,1,1,22,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,78,0,3,0,5,0,0,0,46,0,0,45,10,0,1,3,1,0,0,0,0,0,0,0,0,0,0,13,0,0,91,0,0,0,0,4,5,9,0,0,0,0,11,22,10,0,0,1,0,1,1,0
Templates (C#),3,1,0,0,6,0,0,0,0,2,29,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,1,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,48,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0
eShop (C#),0,18,0,0,6,0,0,0,0,14,141,0,0,0,9,0,0,0,0,28,0,0,0,0,0,0,0,41,2,2,25,1,12,1,1,4,7,0,13,0,0,0,1,0,2,0,1,1,20,5,0,0,0,3,3,0,0,0,4,4,0,0,0,2,33,0,0,0,15,0,0,0,5,0,0,5,66,0,1,0,0,0,0,2,1,0,0,0,0,0,1,24,0,0,23,0,1,0,0,8,86,73,0,0,0,0,2,0,12,0,0,0,0,0,0,7
copy-dialog-lunar-lander (C#),0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,7,0,2,0,0,1,0,0,0,1
luban (C#),0,8,2,8,54,0,0,0,0,13,120,0,0,0,10,0,0,9,0,195,0,1,0,0,0,0,45,3,0,0,51,3,241,10,0,0,1,1,5,0,0,1,14,1,1,0,0,6,7,52,0,0,0,8,3,0,0,0,0,0,0,0,0,0,214,0,1,0,59,0,0,0,0,0,0,4,149,0,2,1,0,1,1,12,196,0,0,1,21,0,2,339,0,0,7,0,0,0,0,0,0,90,0,1,0,0,69,4,131,0,0,7,0,2,0,0
Open-XML-SDK (C#),3,111,2,6,13,0,0,0,5,103,11737,0,0,1,34,0,0,14,1,803,0,0,0,0,11,0,4,84,3,6,95,0,9,3,0,4,9,0,41,0,0,1,41,0,14,0,0,0,58,9,0,5,0,8,14,0,0,1,0,8,0,0,0,0,2073,0,2682,0,22,0,0,0,3,0,0,98,454,0,1,3,0,3,0,3,12,0,0,2,6,1,0,29,0,0,30,0,0,7,0,3,9,94,0,2,0,0,10,6,76,0,0,7,0,1,1,343
SteamAchievementManager (C#),0,3,0,1,0,0,0,0,0,0,15,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,1,1,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,9,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0
winsw (C#),0,0,0,0,4,0,0,0,0,1,39,0,0,0,3,0,0,0,0,21,0,0,0,0,0,0,10,2,1,0,18,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,9,21,0,0,0,0,6,0,4,0,0,0,0,0,0,0
Mirror (C#),1,62,3,5,10,0,0,0,1,107,137,0,0,2,24,0,0,2,0,443,0,5,0,0,2,0,4,6,1,2,946,0,27,0,1,6,1,1,11,0,0,8,12,1,1,0,0,1,168,1,0,10,0,3,7,0,0,2,0,1,0,0,3,0,380,0,45,0,10,0,0,0,9,0,0,9,181,0,0,1,1,1,0,3,92,0,0,4,3,12,1,20,0,0,209,0,5,4,0,3,18,59,0,1,0,0,234,6,54,0,0,4,0,0,0,0
ArchiSteamFarm (C#),0,7,0,1,5,0,0,0,0,2,134,0,0,0,17,0,0,0,0,80,0,0,0,0,1,0,0,3,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,5,0,0,0,0,0,0,2,50,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,11,0,0,0,0,4,30,57,0,0,0,0,0,0,5,0,0,1,0,0,0,0
websocket-sharp (C#),1,52,3,26,2,0,0,0,8,10,122,0,0,0,37,0,0,6,0,13,0,0,0,0,1,0,13,4,2,11,61,1,15,8,0,6,0,1,3,1,0,0,13,0,32,0,0,0,7,9,0,4,0,0,0,0,0,0,0,1,0,0,0,0,127,0,0,0,19,0,0,0,139,0,0,84,5,0,0,0,1,2,0,1,16,0,0,0,0,0,3,2,0,0,64,0,3,1,0,4,1,48,0,0,0,0,6,50,2,0,0,3,0,1,0,0
CleanArchitecture (C#),0,1,0,0,1,0,0,0,0,0,37,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,28,16,0,0,0,0,1,0,5,0,0,0,0,0,0,0
SharpZipLib (C#),0,47,2,43,2,0,0,0,3,12,188,0,0,1,7,0,0,7,0,117,0,6,0,0,1,0,34,2,0,0,221,3,31,1,3,2,2,2,7,0,0,0,24,0,4,0,1,13,20,8,0,2,0,2,3,0,0,0,0,6,1,0,0,0,87,0,7,0,58,0,0,0,103,0,0,29,125,0,2,0,1,0,1,1,3,0,0,1,0,0,0,5,0,0,104,0,0,0,0,8,42,33,2,2,0,0,9,30,14,0,0,3,0,3,0,0
MediatR (C#),0,1,0,1,1,0,0,0,0,3,41,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,17,31,0,0,0,0,1,0,0,0,0,0,0,0,0,1
NETworkManager (C#),0,302,1,0,18,0,0,0,0,0,341,0,0,0,2,0,0,2,0,159,0,0,0,0,0,0,0,32,0,0,170,0,30,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,55,77,0,3,0,8,15,0,0,0,0,0,0,0,0,0,130,0,3,0,3,0,0,0,1,0,0,0,23,0,2,0,0,0,0,0,1,0,0,0,0,0,0,62,0,0,912,0,40,0,0,52,49,8,0,0,0,0,26,1,2,0,0,0,0,0,0,0
CreamInstaller (C#),0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Remotely (C#),0,10,0,4,8,0,0,0,1,2,43,0,0,0,9,0,0,2,0,39,0,0,0,0,4,0,0,41,0,0,49,1,6,0,0,0,0,0,3,0,0,0,9,0,1,0,0,0,14,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,60,0,0,0,2,0,0,0,4,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,25,0,0,0,0,0,175,132,1,0,0,0,0,1,6,0,0,0,0,0,0,0
runner (C#),3,81,1,23,22,0,0,0,42,22,1075,1,0,0,56,0,0,22,0,169,0,1,0,3,2,0,5,51,4,10,265,27,45,7,0,3,2,3,25,0,0,0,36,1,34,0,0,0,87,7,0,7,0,15,9,0,0,4,0,9,0,0,1,0,430,0,9,0,75,0,0,0,36,0,23,67,163,0,10,0,0,1,0,11,31,0,0,3,4,0,2,36,0,0,80,0,2,6,0,18,107,343,0,1,0,0,14,11,57,0,3,6,0,11,2,0
Scrutor (C#),0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,5,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Unigram (C#),19,439,9,22,72,0,0,0,2,165,1256,0,0,2,76,0,0,42,0,1137,0,3,0,4,14,0,3,16,4,20,588,41,201,10,8,180,10,8,32,17,0,0,32,0,33,0,2,3,474,94,0,7,0,25,28,0,0,18,0,6,0,0,20,0,1878,0,129,0,55,0,0,0,20,0,0,50,312,0,33,13,4,2,1,4,52,0,1,7,3,6,95,303,0,0,204,0,33,152,0,131,193,1567,2,3,0,2,286,30,85,0,0,7,0,2,0,1
sharpkeys (C#),0,6,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
OrchardCore (C#),7,44,3,7,140,0,0,0,6,88,1413,0,0,1,56,0,0,14,0,575,0,0,0,1,48,0,2,549,21,36,47,12,32,1,1,15,12,4,81,0,0,0,13,0,37,0,5,0,50,40,0,1,0,52,55,0,0,2,0,13,2,0,0,0,258,0,53,0,43,0,0,0,5,0,0,20,763,0,19,0,1,3,0,13,135,0,0,3,11,12,4,208,0,2,40,0,3,14,0,14,554,1869,1,1,0,0,47,1,86,0,0,12,0,46,0,3
npoi (C#),2,3863,5,633,235,0,0,0,45,239,3301,0,5,11,177,0,0,66,2,2169,0,8,0,95,40,0,245,52,26,377,1721,81,1259,42,1,38,21,7,270,0,0,6,647,6,216,0,4,47,499,200,0,39,0,101,60,0,0,87,0,10,6,6,0,2,1798,0,12,0,1021,0,0,0,5092,0,5,4282,2221,1,169,32,14,16,0,53,324,0,1,5,22,0,2,379,0,0,4658,0,52,58,0,249,265,1380,6,9,0,0,153,502,357,7,9,27,9,18,11,2
ExcelDataReader (C#),0,1,0,2,13,0,0,0,0,24,117,0,0,2,5,0,0,1,0,36,0,1,0,2,2,0,8,1,2,0,56,7,3,0,3,3,4,0,1,0,0,0,9,0,6,0,0,0,5,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,62,0,1,0,11,0,0,0,2,0,0,4,6,0,4,0,0,2,1,2,4,0,0,1,0,0,0,1,0,0,3,0,0,2,0,0,0,36,0,5,0,0,11,1,0,0,0,1,0,0,0,0
Hangfire (C#),0,78,0,9,21,0,0,0,0,11,380,0,0,0,26,0,0,2,0,364,0,0,0,1,0,0,1,18,0,0,98,30,5,0,0,3,16,0,7,0,0,0,3,0,6,0,0,0,178,7,0,5,0,3,5,1,0,0,0,0,0,0,0,0,507,0,11,0,16,0,0,0,11,0,0,27,152,0,7,0,0,0,0,2,10,0,0,0,7,0,0,9,0,0,33,0,3,0,0,0,15,96,0,0,0,0,35,1,42,0,0,1,0,0,0,0
Newtonsoft.Json (C#),2,92,3,15,30,0,0,0,16,62,435,0,0,1,60,0,0,12,0,1143,0,3,0,0,0,0,24,19,0,4,326,17,55,6,2,14,1,2,10,0,0,0,42,2,48,0,1,7,37,65,0,2,0,14,10,1,0,0,0,5,0,0,1,0,214,0,16,0,74,0,0,0,66,0,0,58,1418,0,19,11,0,3,0,1,17,0,2,2,1,1,0,102,0,0,82,0,0,4,0,10,106,324,0,6,0,0,23,15,29,0,0,9,0,0,0,4
wpftoolkit (C#),2,144,0,29,20,0,0,0,3,420,494,0,1,0,47,0,0,142,1,146,0,3,0,0,4,0,6,9,1,8,302,8,68,10,2,6,7,0,17,1,0,0,44,0,34,0,3,2,596,65,0,3,0,13,7,0,0,5,1,24,0,0,1,0,627,0,68,0,67,1,0,0,220,0,0,150,80,3,55,1,0,0,0,1,11,0,0,5,5,2,2,135,0,0,183,0,10,2,0,131,110,175,0,1,0,0,96,28,33,0,0,4,0,0,1,4
EarTrumpet (C#),2,20,1,4,5,0,0,0,0,5,113,0,0,0,4,0,0,3,0,27,0,0,0,0,1,0,4,3,0,0,39,0,3,3,9,0,1,0,3,0,0,0,3,0,1,0,0,0,27,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,121,0,16,0,16,0,0,0,0,0,0,1,17,0,0,0,0,0,0,1,4,0,0,0,0,0,0,9,0,0,33,0,5,0,0,9,22,25,0,1,0,0,14,2,3,0,0,2,0,0,0,0
BililiveRecorder (C#),0,13,0,0,7,0,0,0,0,0,199,0,0,0,2,0,0,0,0,21,0,1,0,0,2,0,0,2,0,0,28,0,0,0,0,5,0,0,1,0,0,0,6,0,0,0,0,0,4,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,60,0,2,0,1,0,0,0,0,0,0,1,34,0,0,0,0,2,0,1,2,0,0,0,6,2,0,8,0,0,8,0,1,1,0,0,32,53,0,1,0,0,11,0,13,0,0,0,0,0,0,0
cake (C#),0,35,0,7,41,0,0,0,0,15,673,0,0,1,41,0,0,5,0,76,0,1,0,0,11,0,0,18,4,12,106,90,63,2,0,4,13,0,68,0,0,0,7,1,11,0,0,1,12,6,0,2,0,5,2,0,0,0,0,7,0,0,0,0,298,0,3,0,51,0,0,0,9,0,0,17,218,0,15,0,2,0,0,36,34,0,1,0,4,0,0,18,0,0,24,0,0,2,0,1,9,232,0,0,0,0,23,5,161,0,0,3,0,3,0,37
StabilityMatrix (C#),1,40,0,3,22,0,0,0,3,19,294,0,0,0,13,0,0,3,0,175,0,0,0,0,7,0,2,30,0,1,77,3,18,1,0,4,6,1,8,0,0,0,5,1,11,0,2,0,83,14,0,1,0,3,6,0,0,1,0,2,0,0,1,0,210,0,7,0,8,0,0,0,3,0,0,2,74,0,3,0,0,1,0,3,3,0,0,1,2,0,0,58,0,0,23,0,4,6,0,0,116,90,0,0,0,0,32,1,14,0,0,1,0,0,1,4
reactive (C#),0,78,1,0,250,0,0,0,1,21,1023,0,0,0,17,1,0,4,0,877,0,0,0,1,5,0,11,13,43,2,372,36,9,1,0,13,73,5,7,0,0,0,6,0,4,0,1,0,203,32,0,2,0,19,22,5,0,0,0,4,0,0,0,0,546,0,2,0,51,0,0,0,217,0,1,36,2498,0,219,4,0,0,0,47,11,0,0,0,8,0,1,31,0,0,228,0,5,1,0,87,87,949,0,0,0,0,257,0,33,0,0,2,0,0,1,0
ParrelSync (C#),0,1,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
